usecase,alert_id,time_center,severity,acked_at_utc,time_to_ack_s
signal_loss,DEMO-SIGNAL_LOSS-1,2021-11-01 00:00:00+00:00,high,,
signal_loss,DEMO-SIGNAL_LOSS-2,2021-11-01 01:00:00+00:00,medium,,
signal_loss,DEMO-SIGNAL_LOSS-3,2021-11-01 02:00:00+00:00,medium,,
jamming,DEMO-JAMMING-1,2021-11-01 00:00:00+00:00,high,,
jamming,DEMO-JAMMING-2,2021-11-01 01:00:00+00:00,medium,,
jamming,DEMO-JAMMING-3,2021-11-01 02:00:00+00:00,medium,,
sla,SLA throughput,,high,,
sla,SLA throughput,,high,,
sla,SLA throughput,,high,,
sla,SIM-SLA,,high,,
handover,Unknown beam,,medium,,
handover,Unknown beam,,medium,,
handover,Unknown beam,,high,,
spaceweather,DEMO-SPACEWEATHER-1,2021-11-01 00:00:00+00:00,high,,
spaceweather,DEMO-SPACEWEATHER-2,2021-11-01 01:00:00+00:00,medium,,
spaceweather,DEMO-SPACEWEATHER-3,2021-11-01 02:00:00+00:00,medium,,
capacity,Beam-C,2021-11-01 00:00:00+00:00,medium,,
capacity,Beam-A,2021-11-01 00:00:00+00:00,high,,
capacity,Beam-B,2021-11-01 00:00:00+00:00,high,,
stress,SAT net,2021-11-01 00:00:00+00:00,medium,,
stress,SAT net,2021-10-31 23:00:00+00:00,medium,,
stress,SAT net,2021-10-31 22:00:00+00:00,medium,,
signal_loss,DEMO-SIGNAL_LOSS-1,2021-11-01 00:00:00+00:00,high,,
signal_loss,DEMO-SIGNAL_LOSS-2,2021-11-01 01:00:00+00:00,medium,,
signal_loss,DEMO-SIGNAL_LOSS-3,2021-11-01 02:00:00+00:00,medium,,
jamming,DEMO-JAMMING-1,2021-11-01 00:00:00+00:00,high,,
jamming,DEMO-JAMMING-2,2021-11-01 01:00:00+00:00,medium,,
jamming,DEMO-JAMMING-3,2021-11-01 02:00:00+00:00,medium,,
sla,SLA throughput,,high,,
sla,SLA throughput,,high,,
sla,SLA throughput,,high,,
sla,SIM-SLA,,high,,
handover,Unknown beam,,medium,,
handover,Unknown beam,,medium,,
handover,Unknown beam,,high,,
spaceweather,DEMO-SPACEWEATHER-1,2021-11-01 00:00:00+00:00,high,,
spaceweather,DEMO-SPACEWEATHER-2,2021-11-01 01:00:00+00:00,medium,,
spaceweather,DEMO-SPACEWEATHER-3,2021-11-01 02:00:00+00:00,medium,,
capacity,Beam-C,2021-11-01 00:00:00+00:00,medium,,
capacity,Beam-A,2021-11-01 00:00:00+00:00,high,,
capacity,Beam-B,2021-11-01 00:00:00+00:00,high,,
stress,SAT net,2021-11-01 00:00:00+00:00,medium,,
stress,SAT net,2021-10-31 23:00:00+00:00,medium,,
stress,SAT net,2021-10-31 22:00:00+00:00,medium,,
signal_loss,DEMO-SIGNAL_LOSS-1,2021-11-01 00:00:00+00:00,high,,
signal_loss,DEMO-SIGNAL_LOSS-2,2021-11-01 01:00:00+00:00,medium,,
signal_loss,DEMO-SIGNAL_LOSS-3,2021-11-01 02:00:00+00:00,medium,,
jamming,DEMO-JAMMING-1,2021-11-01 00:00:00+00:00,high,,
jamming,DEMO-JAMMING-2,2021-11-01 01:00:00+00:00,medium,,
jamming,DEMO-JAMMING-3,2021-11-01 02:00:00+00:00,medium,,
sla,SLA throughput,,high,,
